DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P6210;P6210S1;P1366;P756;P756S3;P755;P755S3;P753;P753S3;P1662;P6080;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P1906S9;P3038;P3039
689398;237;1;1;1;48.684872173;3;303;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;3;1;2
689398;237;2;1;2;48.684872173;5;513;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689399;237;1;1;1;43.457028139;5;511;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689399;237;2;1;2;43.457028139;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689400;237;1;1;1;61.652685757;6;602;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689400;237;2;1;2;61.652685757;6;605;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
689401;237;1;1;1;31.403368224;6;610;4;1;;1;;1;;;9;4;4;3;4;3;4;4;4;4;1;2
689401;237;2;1;2;31.403368224;6;610;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689401;237;3;1;3;31.403368224;6;610;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
689402;237;1;1;1;50.632752787;6;605;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
689402;237;2;1;2;50.632752787;5;511;4;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
689402;237;3;1;3;50.632752787;6;602;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
689403;237;1;1;1;43.769963411;5;511;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689403;237;2;1;2;43.769963411;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689403;237;3;1;3;43.769963411;6;605;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689404;237;1;1;1;42.947672783;6;605;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689404;237;2;1;2;42.947672783;6;605;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689405;237;2;1;2;38.65732692;3;305;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689405;237;3;1;3;38.65732692;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689405;237;4;1;4;38.65732692;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689405;237;1;1;1;38.65732692;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689406;237;1;1;1;48.475438461;5;511;2;1;;1;;1;;;9;4;4;4;3;3;4;4;4;4;2;1
689407;237;1;1;1;62.003977008;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689408;237;1;1;1;48.475438461;5;511;6;1;;1;;1;;;9;4;4;3;4;4;3;4;3;3;2;1
689409;237;1;1;1;34.140856017;5;513;5;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
689409;237;2;1;2;34.140856017;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
689410;237;1;1;1;68.429961795;6;602;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689411;237;1;1;1;51.163190964;3;305;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689411;237;2;1;2;51.163190964;3;305;2;1;;1;;1;;;9;4;4;3;3;4;4;4;4;4;1;2
689411;237;3;1;3;51.163190964;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689411;237;4;1;4;51.163190964;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689412;237;1;1;1;39.522286944;6;606;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689412;237;2;1;2;39.522286944;3;303;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689413;237;1;1;1;45.035998105;3;304;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689413;237;2;1;2;45.035998105;3;304;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689415;237;1;1;1;26.792993287;3;305;5;2;;2;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689415;237;2;1;2;26.792993287;5;511;6;2;;2;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689415;237;3;1;3;26.792993287;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
689416;237;1;1;1;41.1756695;5;511;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689416;237;2;1;2;41.1756695;5;511;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689416;237;3;1;3;41.1756695;4;409;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;;
689417;237;1;1;1;39.522286944;6;602;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689417;237;2;1;2;39.522286944;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689418;237;1;1;1;58.204494354;3;303;5;2;;1;;1;;;9;4;4;4;3;4;4;4;4;4;1;2
689418;237;2;1;2;58.204494354;5;511;2;2;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
689419;237;1;1;1;34.658314365;3;305;5;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689419;237;2;1;2;34.658314365;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689419;237;3;1;3;34.658314365;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689419;237;4;1;4;34.658314365;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689420;237;1;1;1;46.557100428;6;605;3;2;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
689420;237;2;1;2;46.557100428;5;511;3;2;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
689420;237;3;1;3;46.557100428;6;605;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
689421;237;1;1;1;60.328563154;6;605;6;2;;1;;1;;;9;4;4;3;3;4;4;4;4;4;1;2
689421;237;2;1;2;60.328563154;5;511;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;;
689422;237;1;1;1;57.394374873;5;511;3;1;;1;;1;;;9;3;4;4;4;4;4;4;4;4;2;1
689422;237;2;1;2;57.394374873;6;602;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
689422;237;3;1;3;57.394374873;6;602;6;1;;1;;1;;;9;4;4;4;3;4;4;4;4;4;2;1
689422;237;4;1;4;57.394374873;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
