DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;DEPMUNI;CIUDADES28;Clase;FEX_C;P1987;P1988;P1988S1;P1989;P1990
648018;235;1;1;1;00000;0;Centro poblado y rur;527.27326156;4;1;1;1;1
648019;235;1;1;1;00000;0;Centro poblado y rur;477.25804333;1;1;1;1;1
648020;235;1;1;1;00000;0;Centro poblado y rur;594.29888527;1;1;2;1;1
648021;235;1;1;1;00000;0;Centro poblado y rur;536.49979327;1;1;1;1;1
648022;235;1;1;1;00000;0;Centro poblado y rur;570.78741618;1;1;1;1;1
648023;235;1;1;1;00000;0;Centro poblado y rur;536.49979327;1;1;2;1;1
648024;235;1;1;1;00000;0;Centro poblado y rur;628.95392034;1;1;1;3;1
648025;235;1;1;1;00000;0;Centro poblado y rur;698.3424497;1;2;;1;1
648026;235;1;1;1;00000;0;Centro poblado y rur;550.25997954;1;1;1;1;1
648027;235;1;1;1;00000;0;Centro poblado y rur;423.38230872;1;1;1;1;1
648028;235;1;1;1;00000;0;Centro poblado y rur;580.18677752;1;1;1;1;1
648029;235;1;1;1;00000;0;Centro poblado y rur;483.22187264;1;1;1;3;1
648030;235;1;1;1;00000;0;Centro poblado y rur;555.4951976;1;1;1;1;1
648031;235;1;1;1;00000;0;Centro poblado y rur;474.47788542;1;1;1;1;1
648032;235;1;1;1;00000;0;Centro poblado y rur;453.52841227;1;1;1;1;1
648033;235;1;1;1;00000;0;Centro poblado y rur;503.15661176;1;1;1;1;1
648034;235;1;1;1;00000;0;Centro poblado y rur;542.8311885;1;1;1;1;1
648035;235;1;1;1;00000;0;Centro poblado y rur;384.78021873;1;1;1;1;1
648036;235;1;1;1;00000;0;Centro poblado y rur;470.85019652;1;1;1;1;1
648037;235;1;1;1;00000;0;Cabecera;1702.8693895;1;1;2;1;1
648038;235;1;1;1;00000;0;Cabecera;1940.1963581;1;1;1;1;1
648039;235;1;1;1;00000;0;Cabecera;1888.8425906;1;1;1;1;1
648040;235;1;1;1;00000;0;Cabecera;1831.1448904;2;1;1;1;1
648041;235;1;1;1;00000;0;Cabecera;1589.1138677;1;1;1;1;1
648043;235;1;1;1;00000;0;Cabecera;951.37547975;1;1;1;1;1
648044;235;1;1;1;00000;0;Cabecera;1062.0673096;1;1;1;4;1
648045;235;1;1;1;00000;0;Cabecera;1418.7577522;1;1;1;2;1
648046;235;1;1;1;00000;0;Cabecera;1184.6881286;1;1;1;1;1
648047;235;1;1;1;00000;0;Cabecera;1502.2363117;1;1;8;2;1
648049;235;1;1;1;00000;0;Cabecera;1526.9771788;1;1;1;1;1
648051;235;1;1;1;00000;0;Cabecera;1942.7185194;1;1;1;1;1
648052;235;1;1;1;00000;0;Cabecera;1970.4968781;1;1;1;1;1
648053;235;1;1;1;00000;0;Cabecera;2316.6756914;1;1;1;1;1
648055;235;1;1;1;00000;0;Cabecera;1428.1704668;2;1;1;2;1
648056;235;1;1;1;00000;0;Cabecera;1641.2256787;1;1;1;2;1
648058;235;1;1;1;00000;0;Cabecera;2237.9923728;1;1;1;1;1
648060;235;1;1;1;00000;0;Cabecera;2105.3948044;1;1;1;1;1
648062;235;1;1;1;00000;0;Cabecera;1242.9350544;1;1;1;1;1
648063;235;1;1;1;00000;0;Cabecera;2155.7737313;1;1;1;2;1
648064;235;1;1;1;00000;0;Cabecera;1940.1963581;2;1;1;2;1
648066;235;1;1;1;00000;0;Cabecera;1766.568476;1;1;1;1;1
648067;235;1;1;1;08001;1;Cabecera;133.50434822;2;1;1;1;1
648068;235;1;1;1;08001;1;Cabecera;173.03366031;1;1;2;1;1
648070;235;1;1;1;08001;1;Cabecera;173.03366031;1;1;2;1;1
648071;235;1;1;1;08001;1;Cabecera;219.80230884;1;1;2;1;1
648072;235;1;1;1;08001;1;Cabecera;164.83620523;2;1;4;1;1
648073;235;1;1;1;08001;1;Cabecera;144.31728124;1;1;4;1;1
648074;235;1;1;1;08001;1;Cabecera;180.31614307;1;1;1;1;1
648075;235;1;1;1;08001;1;Cabecera;261.83832561;1;2;;1;1
648076;235;1;1;1;08001;1;Cabecera;219.95684737;2;1;2;2;1
648077;235;1;1;1;08001;1;Cabecera;157.32307359;2;1;1;1;1
648078;235;1;1;1;08001;1;Cabecera;148.33816469;1;1;1;2;1
648079;235;1;1;1;08001;1;Cabecera;157.92719795;2;1;1;2;1
648080;235;1;1;1;08001;1;Cabecera;192.01477212;1;1;1;2;1
648081;235;1;1;1;08001;1;Cabecera;156.13562588;1;1;1;1;1
648082;235;1;1;1;08001;1;Cabecera;138.06662727;1;1;1;2;1
648083;235;1;1;1;08001;1;Cabecera;116.29705046;1;1;1;1;1
648084;235;1;1;1;08001;1;Cabecera;133.50434822;1;1;1;1;1
648085;235;1;1;1;08001;1;Cabecera;186.56745356;2;1;1;2;1
648088;235;1;1;1;08001;1;Cabecera;224.03012232;2;1;1;1;1
648089;235;1;1;1;08001;1;Cabecera;206.02522873;2;1;1;2;1
648090;235;1;1;1;08001;1;Cabecera;136.96409454;1;1;1;1;1
648091;235;1;1;1;08001;1;Cabecera;157.97433511;2;1;1;1;1
