DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P220;P5785;P5501;P2057;P2059;P2061;P1402;P1403;P1365;P1364;P1363
647754;237;1;1;1;177.32180256;2;59;1;2;2;2;4;4;4;;
647754;237;2;1;2;177.32180256;2;38;3;2;2;2;4;4;1;6;1
647754;237;3;1;3;177.32180256;2;13;5;;;;;;;;
647754;237;4;1;4;177.32180256;1;9;5;;;;;;;;
647755;237;1;1;1;887.81889765;1;71;1;2;1;1;4;4;1;1;1
647755;237;2;1;2;887.81889765;2;73;2;1;;1;4;4;1;1;1
647755;237;3;1;3;887.81889765;1;49;3;1;;1;4;4;1;1;1
647756;237;1;1;1;791.50776699;2;38;1;2;1;2;4;4;1;6;1
647756;237;2;1;2;791.50776699;1;12;3;;;;;;;;
647756;237;3;2;1;791.50776699;2;63;1;1;;2;4;4;2;;
647756;237;4;3;1;791.50776699;2;39;1;1;;1;4;4;4;;
647757;237;2;1;2;487.61976587;2;19;3;2;2;2;4;4;3;;
647757;237;1;1;1;487.61976587;2;34;1;2;2;2;4;4;1;2;1
647758;237;1;1;1;533.61838127;2;24;1;2;2;2;2;2;1;6;1
647758;237;2;1;2;533.61838127;1;18;7;2;2;2;4;2;3;;
647760;237;1;1;1;691.39044959;1;40;1;1;;2;4;4;1;6;1
647760;237;2;1;2;691.39044959;2;32;2;2;2;2;4;4;1;6;1
647760;237;3;1;3;691.39044959;2;14;3;;;;;;;;
647760;237;4;1;4;691.39044959;2;4;3;;;;;;;;
647761;237;1;1;1;668.27100679;2;68;1;2;2;2;4;4;4;;
647761;237;2;1;2;668.27100679;1;31;3;2;2;2;4;4;1;6;1
647762;237;1;1;1;583.8241008;2;54;1;2;2;2;4;4;1;6;1
647762;237;2;1;2;583.8241008;1;26;3;2;1;2;4;4;3;;
647763;237;1;1;1;474.54271868;2;67;1;2;1;2;2;1;4;;
647763;237;2;1;2;474.54271868;2;16;5;2;2;2;1;1;3;;
647765;237;1;1;1;528.56385638;2;58;1;2;1;2;4;3;1;2;1
647765;237;2;1;2;528.56385638;2;21;3;2;2;2;4;4;1;6;1
647765;237;3;1;3;528.56385638;1;24;3;2;2;2;4;4;1;6;1
647766;237;1;1;1;1172.1231721;2;28;1;1;;2;3;2;1;6;1
647766;237;2;1;2;1172.1231721;1;6;3;;;;;;;;
647766;237;3;1;3;1172.1231721;1;1;3;;;;;;;;
647767;237;1;1;1;420.56420482;2;48;1;1;;1;4;4;1;6;1
647767;237;2;1;2;420.56420482;1;54;2;1;;2;4;4;1;2;1
647767;237;3;1;3;420.56420482;2;21;3;2;1;2;4;2;3;;
647767;237;4;1;4;420.56420482;2;15;3;2;1;2;4;3;3;;
647768;237;1;1;1;637.6072752;1;51;1;2;2;2;4;4;1;3;1
647768;237;2;1;2;637.6072752;2;49;2;1;;1;4;4;1;3;1
647768;237;3;1;3;637.6072752;2;13;3;;;;;;;;
647769;237;1;1;1;447.19780632;1;22;1;2;2;2;2;1;3;;
647769;237;2;1;2;447.19780632;1;21;8;2;2;2;2;1;3;;
647769;237;3;1;3;447.19780632;1;23;8;2;2;2;2;1;3;;
